Country,Very much like me,Like me,Somewhat like me,A little like me,Not like me,Not at all like me,Inappropriate response,No answer,DonÂ´t know
TOTAL,18.8,23.7,22.5,14.9,12.2,4.8,0.3,0.8,2.1
Algeria,36.9,21.6,17.8,6.7,6.7,3.8,0,6.6,0
Azerbaijan,10.4,14.3,35.8,22.5,8.5,8.5,0,0,0
Argentina,8.7,24.7,27.9,19.1,12.4,5.5,0,0.5,1.3
Australia,7,15.9,22.9,21.4,23,8,0,1.8,0
Bahrain,20.2,38.2,18.8,16.5,4.2,1.9,0,0,0.2
Armenia,13.7,32.2,19.8,11.6,16.7,5,0,0,1
Brazil,11.5,33.2,20.9,8.8,18.1,7.1,0,0.1,0.3
Belarus,7.9,20.7,24.7,19.5,21.2,5.6,0,0,0.4
Chile,13.8,19.4,28.9,13.6,8.7,7.9,0,2.9,4.8
China,8.7,25.3,26.7,17,14.5,2.8,0,4.8,0.2
Taiwan,3.1,9.4,16.7,19.5,38.8,8.9,0,0.3,3.3
Colombia,31,25.1,17.7,12.8,8.1,4.9,0,0.2,0.3
Cyprus,25.3,28.7,20.4,12,9.3,3.9,0,0,0.4
Ecuador,25.8,29,24.5,11.7,5.2,3.6,0,0,0.2
Estonia,3.8,11.3,22.4,27.2,25.4,8.6,0,0.1,1.3
Georgia,20.3,34.9,19.9,11.2,9.9,2.8,0,0,1
Palestine,22.4,31,20.9,13.8,7.3,1.8,0,0,2.8
Germany,10.8,29.3,27.2,18.9,10.4,2.5,0.2,0.2,0.4
Ghana,41.1,36.6,15.6,4.4,1.9,0.4,0,0,0
Hong Kong,8.3,23.9,28.5,20.1,15.5,3.3,0,0.4,0
India,30.7,0,34.2,0,13.4,8.6,0,0,13.1
Iraq,27.2,31.7,19.6,13.7,5.6,1.2,0,0,1.2
Japan,2,7.2,13.5,25.9,33,7.6,0,0,10.7
Kazakhstan,10.3,21.4,26.3,22.8,15.9,3.4,0,0,0
Jordan,45.6,30.8,14.4,5.1,2.7,1.1,0,0,0.3
South Korea,13.1,23.3,26.3,18.3,13.9,3.6,0,1.5,0
Kuwait,44.1,22.8,14.1,8.5,4.5,1.7,0,2.8,1.5
Kyrgyzstan,15.6,29.1,26.6,12.7,11,4.7,0,0.1,0.3
Lebanon,33.3,22.5,19.5,9.8,9.2,3.2,0,0,2.3
Libya,42.5,23,14.7,8.3,6,3,0,0.4,1.9
Malaysia,14.4,24.5,26.1,20.8,11.2,3.2,0,0,0
Mexico,25,29.2,18.6,10.8,4.7,11.2,0,0.1,0.3
Morocco,13.2,17.5,13.1,16.5,7.2,18.8,0,6.8,6.9
Netherlands,1.3,6.3,13,19.6,39.1,16.4,0,0.4,3.9
New Zealand,5.6,14.4,19,24.7,25.9,7.6,0,2.7,0
Nigeria,33.6,33.8,18.9,8.9,3.5,1.2,0,0,0
Pakistan,25.2,33.8,19.8,12.4,5.3,1.3,0,0.6,1.5
Peru,16.4,21.5,21.8,18.7,12.3,5.3,0,2,2
Philippines,22.1,32.6,23.3,8.9,11.5,1.4,0,0.2,0
Poland,8.9,35.6,29.1,15.1,7.8,1.7,0,0,1.9
Qatar,60.8,26.8,9.4,0,2.5,0.3,0,0,0.2
Romania,21.7,18.6,26.8,17.9,6,5.9,0,0.4,2.9
Russia,7.8,23.6,27.3,24.1,0,0,9.5,1.6,6.1
Rwanda,14,32.7,25.4,17.4,9.1,1.4,0,0,0
Singapore,9.4,29.8,32.2,15.9,9.4,3.1,0.1,0,0
Slovenia,12.7,36.6,25.6,11.7,10.3,2,0,0.6,0.6
South Africa,19.4,30.4,24.4,15.5,6.6,2,0,0,1.7
Zimbabwe,31.2,26.7,23.7,11.4,5.1,1.9,0,0,0
Spain,6.6,20.6,32.8,24.6,10.9,2.9,0,0.6,1
Sweden,6.3,12.9,22.1,18.9,29.1,9.7,0.1,0.3,0.6
Thailand,11.5,29.6,22.9,19.3,12.3,3.9,0,0.5,0
Trinidad and Tobago,24,32.8,15.3,10.3,13.3,2.9,0,0,1.3
Tunisia,39.2,22.9,13,8.5,4.2,2.6,0,0,9.5
Turkey,23.9,35.3,24.1,9.4,3.7,1.1,0,0,2.4
Ukraine,7.2,17.5,23.2,24.5,21.7,5.8,0,0,0
Egypt,18.1,27.4,30.1,14.8,7.5,2,0,0,0
United States,8.2,17.1,22.6,21.7,22.4,6.3,0,1.7,0
Uruguay,7.7,16.5,12.2,18.2,22,22.5,0,0.1,0.8
Uzbekistan,23,24.9,21.1,14.7,8.6,2.5,0,5.2,0
Yemen,19.1,33.7,16.2,11.1,9.7,2.9,0,0,7.3