Country,Very good,Good,Fair,Poor,Very poor (cs),No answer,DonÂ´t know
TOTAL,23.4,44.7,24.6,6.8,0.1,0.3,0.2
Andorra,34.5,50.2,13.2,2.1,0,0,0
Argentina,33.2,45.5,18.6,2.6,0,0,0.1
Australia,26.3,48.1,20.4,4.6,0,0.7,0
Brazil,27.5,46.8,23.4,2.3,0,0.1,0
Bulgaria,15.6,39.3,30.6,14.2,0,0,0.3
Canada,42.1,39.6,14.5,3.6,0,0.2,0
Chile,16.7,44.7,31.4,7.3,0,0,0
China,33.3,31.7,22.6,12.1,0,0.1,0
Taiwan,22.7,63.2,9.5,4.6,0,0,0
Colombia,22.3,50.1,25.1,2.4,0,0.1,0
Cyprus,41.9,35.3,17.7,5.1,0,0.1,0
Ethiopia,25.7,38.8,26,9.3,0,0.1,0.1
Finland,23.6,43.3,27.3,5.8,0,0,0
France,29.4,43,22.4,5.2,0,0,0
Georgia,12.6,29.3,38.3,19.7,0,0.1,0.1
Germany,26.3,44.9,23.1,5.1,0,0.4,0.3
Ghana,37.2,43.1,13.6,6.1,0,0.1,0
Guatemala,20.7,41.9,35,1.9,0.6,0,0
Hong Kong,5.4,57.7,32.5,3.8,0,0,0.5
Hungary,18.8,39.9,31,10.3,0,0.1,0
India,21.9,46.7,24.4,6.8,0,0,0.2
Indonesia,19.2,56.8,20.2,3.1,0,0.2,0.4
Iran,18.7,48.5,25.5,5.8,0,1.4,0
Iraq,17.6,47.6,21.9,11.7,0,0.7,0.4
Italy,18.6,55.5,22.5,3.4,0,0,0
Japan,13.5,40.1,37,8.7,0,0.7,0
Jordan,43.5,43.6,10.5,2.2,0,0.1,0
South Korea,13.1,66.5,19.1,1.3,0,0,0
Malaysia,27.6,61.5,10.4,0.4,0,0,0
Mali,28.5,33.2,30.4,6.1,0,1.6,0.1
Mexico,22.1,41.9,32.2,3.5,0,0.2,0.1
Moldova,10.2,42.4,33.8,11.2,0,0,2.4
Morocco,38.4,36.2,21.8,3.6,0,0,0
Netherlands,24.5,48.3,23.2,3.9,0,0,0.2
New Zealand,36.5,44.8,16.1,2.1,0,0.2,0.3
Norway,41.6,37.9,16.1,4.5,0,0,0
Peru,7.3,40.4,48.5,3.9,0,0,0
Poland,17.8,37.9,32,12.2,0,0,0.1
Romania,9.9,43.7,32,14.3,0,0,0.1
Russia,6.2,33.6,45.3,14.4,0,0.2,0.3
Rwanda,2.5,31.1,49.1,16.9,0,0.3,0.1
Viet Nam,10.4,49.2,31.6,8.8,0,0,0
Slovenia,21.2,35.6,29.1,13.9,0,0,0.2
South Africa,40.4,37.8,14.5,5.6,1.5,0,0.2
Spain,19.9,59.5,16.3,4,0,0.1,0.2
Sweden,34.8,42.8,19.2,3.2,0,0,0
Switzerland,33.1,51.1,13.2,2.6,0,0,0
Thailand,21.6,54.4,19.2,4.3,0,0.5,0
Trinidad and Tobago,35.2,37.7,22.7,4.2,0,0.1,0
Turkey,17,51.3,22.9,7.7,0.8,0.1,0
Ukraine,7.6,39.1,37.3,15.9,0,0.1,0
Egypt,15.5,51,25.4,8.1,0,0,0
United Kingdom,34.4,39.8,17.9,7.9,0,0,0.1
United States,29.5,52.2,14.6,3.7,0,0,0
Burkina Faso,27.8,43.7,22.8,4.7,0,0.7,0.3
Uruguay,20.2,57.1,18.8,3.3,0.4,0.2,0
Serbia and Montenegro,18.5,35.3,33.3,12,0,0.1,0.7
Zambia,27.7,41.2,18.8,8.5,0,2.9,0.9