Country,1,2,3,4,5,6,7,8,9,10
TOTAL,6.1,3.6,6.6,7.2,15,9.8,12,15.8,9.5,13.3
Albania,3.1,7,14,24,18.7,12.4,11.4,7.9,0.8,0
Azerbaijan,6.3,3.5,9.7,12.9,25.2,9.2,10.1,11.7,4.9,4.5
Argentina,3.4,2.3,2.4,4.2,15.8,9.7,17.4,19.4,7.5,17.7
Australia,0.5,1,2.5,2.9,9.1,6.7,16.3,29.3,16.6,14.7
Bangladesh,2.7,2.3,5.2,6,20.1,14.1,15.1,13.2,8.9,10.5
Armenia,14.3,10.5,16.4,12.8,17,9.3,8.2,5.7,2.9,2.4
Bulgaria,12.3,7.5,13.7,14.4,17.8,9.8,8.8,7.8,3.5,3
Belarus,12.5,8.7,15.6,12.9,25.3,7.2,7.4,5.6,2.1,1.7
Chile,2,0.9,3,5.6,14.8,16.6,14.1,18.8,9.1,14.9
China,3.4,3.2,4.2,4.9,11.9,13.4,14,17,11.1,16.5
Taiwan,1.9,0.6,4.2,4.4,17.3,21.9,16.3,17.4,6.9,8.7
Colombia,1.7,0.8,1.1,1.7,4.6,5,8.6,20.8,17.6,37.6
Croatia,2.3,3,7.1,8.3,16.9,14.3,16.3,19.3,7.4,4.8
Czech Rep.,1.2,2.7,6.5,5.9,17.4,14.1,17.6,19.4,9.6,4.9
Dominican Rep.,4.8,1.2,3.1,5.5,10.1,7.2,16.1,16.3,14.9,19.2
El Salvador,4,1.4,2.2,3,9.3,8.9,13,16.7,11.5,28.1
Estonia,9.2,4.8,12.9,11.2,24.8,10.8,10.5,9.4,3.8,2.5
Finland,0.4,0.6,1.1,1.9,4.9,6.2,15.5,38,21.9,9.1
Georgia,17.8,6.1,10.4,11,19.6,10,7.8,8.2,4,4.6
Germany,1.3,0.9,3.7,5.5,11.8,12.3,17.8,28.1,11.2,7.3
Hungary,2.9,4.6,7.4,11.7,21.1,13.7,10.8,14.3,5.8,7.2
India,6.5,2.8,5.2,5.4,11.1,10.6,13.2,14.7,10.6,14.3
Japan,1.5,1.5,3.7,4.3,14,19.5,17.1,23.4,7.3,5.2
Latvia,7.3,7.3,13.8,13.8,21.2,10.7,10.6,9.2,3.5,1.8
Lithuania,12.7,7,11.6,11.4,16.7,9,9.8,11.1,3.4,5.9
Mexico,1.9,0.9,2.9,4.3,8,8.7,12.3,21.2,19.2,19.5
Moldova,28.2,8.2,13.7,11,17.5,7.7,5.6,3.9,2.3,1.7
New Zealand,1.4,0.7,2.7,2.2,8.1,6.5,13.9,24.3,16.8,20.9
Nigeria,5.3,3.7,5.4,7.7,10,11.2,12.8,15.8,11.8,15.8
Norway,1.2,0.6,2,1.9,8.5,6.9,14.8,30.5,16.8,16.2
Peru,4.5,2.6,4.6,5.9,20.4,14.1,13.5,11.5,6.4,14.8
Philippines,2.4,1.8,3.4,5.2,20.9,11.9,10.4,15.2,10.1,18.5
Poland,4.2,2.9,4.2,6.2,20.4,11.9,13.4,14.3,7.5,13.9
Puerto Rico,2.1,1.1,1.8,2.5,6.9,6.3,8.2,16.8,16.6,37.4
Romania,11.5,9.5,10.3,12.6,16.9,11.3,10.2,9.1,5.3,2.7
Russia,16,8.4,14.6,11.4,20.6,6.4,6.7,7.7,2.8,4.3
Slovakia,3.7,2.8,8.3,7.9,18.1,12.1,16.1,17.6,8.3,4.8
Slovenia,2.7,1.5,3.5,7.1,20.1,14.5,16.1,17.1,7.8,9
South Africa,10.6,5.7,8.7,10.5,16.5,8.7,8.9,12.2,6.3,11.5
Spain,1.2,0.9,3.8,5.4,18.1,15.8,28.8,2.2,15,8.1
Sweden,0.6,0.5,1.7,3.3,6.8,5.6,16.3,28.3,19.3,17.3
Switzerland,0.4,0.4,1.7,1.6,5.2,5.7,9.7,28.4,21.2,25.2
Turkey,7.5,2,5.6,5,27,8.1,9.5,12.8,3.7,18.3
Ukraine,18.4,9.5,15.5,12.5,19.6,6.8,4.6,4.3,1.7,2.1
Macedonia,3.4,4,8.5,9.4,24.3,15.2,10.3,12.2,6.1,4.9
United Kingdom,1.5,0.4,1.7,2,8.8,8.8,19.2,25.7,11.7,20.1
United States,0.9,1.2,1.8,2.8,7.9,7.4,15.5,25.6,18,18.5
Uruguay,2.3,1,4.2,5.7,13.8,10.2,15.7,17,9.2,20.5
Venezuela,10.1,2.4,5.8,4.2,10.7,9.5,7.5,12.2,10.1,26.5
Serbia,6.8,5.3,9.8,8.9,20.7,9.8,13.3,12.2,6.1,5.9
Montenegro,3.3,1.7,5.8,8.8,18.3,11.2,18.8,16.2,5.8,7.1
Bosnia,2.2,4.8,6.4,9.6,20.1,14.2,16.8,15.1,4.9,5.9